"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "CSS", "XML", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\Tabs\KitchenMaterialTabs.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\PriceUpdates\Tabs\Tabs.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\ServicesHandler.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 13, 10, 148
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\TestimonialsHandler.js", "JavaScript", 150, 0, 0, 0, 0, 0, 0, 0, 9, 159
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\kitchenExtras.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Admin\test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\AboutUs.js", "JavaScript", 159, 0, 0, 0, 0, 0, 0, 0, 9, 168
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Careers.js", "JavaScript", 247, 0, 0, 0, 0, 0, 0, 3, 17, 267
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Footer.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 4, 9, 141
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Gallery.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 11, 116
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Jumbotron.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 6, 66
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\MobileMenu.js", "JavaScript", 144, 0, 0, 0, 0, 0, 0, 0, 7, 151
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Navbar.js", "JavaScript", 169, 0, 0, 0, 0, 0, 0, 0, 11, 180
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Services.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 3, 11, 104
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\Testimonials.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 10, 95
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\WhoWeAre.js", "JavaScript", 163, 0, 0, 0, 0, 0, 0, 0, 4, 167
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\OtherComponents\WhyChooseUs.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 7, 103
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Quote\EstimateCalculator.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 4, 86
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Quote\ProjectForm.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Quote\ProjectTypes.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\Quote\Quote.js", "JavaScript", 254, 0, 0, 0, 0, 0, 0, 13, 22, 289
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\BathroomForm.js", "JavaScript", 214, 0, 0, 0, 0, 0, 0, 0, 40, 254
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\BathroomMaterialsForms\ShowerTubForm.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 14, 80
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\BathroomMaterialsForms\SinkForm.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 13, 79
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\BathroomMaterialsForms\ToiletForm.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 13, 79
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\CoatingsForm.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 11, 78
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\ConcreteForm.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 12, 75
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\ContactForm.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 3, 69
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\DeckPatioForm.js", "JavaScript", 163, 0, 0, 0, 0, 0, 0, 0, 24, 187
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\EpoxyForm.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 11, 78
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\ExteriorForm.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 0, 26, 152
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\ExteriorForms\RoofingForm.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 15, 99
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\ExteriorForms\SidingForm.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 20, 105
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\FlooringForm.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 12, 89
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\InteriorForm.js", "JavaScript", 158, 0, 0, 0, 0, 0, 0, 0, 26, 184
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\KitchenForm.js", "JavaScript", 227, 0, 0, 0, 0, 0, 0, 0, 29, 256
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\KitchenMaterialsForms\CabinetsForm.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 0, 14, 113
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\KitchenMaterialsForms\CountertopsForm.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 14, 105
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\RenderSwitch.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\components\quoteComponents\drywallOption.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 8, 53
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\hooks\useAuth.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 2, 9, 64
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\hooks\useFetchMaterials.js", "JavaScript", 196, 0, 0, 0, 0, 0, 0, 1, 23, 220
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\hooks\useImages.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\lib\firebase.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 7, 7, 39
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\next.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 5690, 0, 1, 5691
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 41, 0, 1, 42
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\_app.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 6, 64
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\_document.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\aboutUs.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\admin.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\api\optimizeImage.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\careers.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 4, 27
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\index.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 2, 60
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\quote.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 1, 3, 23
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\terms.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 3, 56
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\public\vercel.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\styles\Home.module.css", "CSS", 0, 0, 0, 146, 0, 0, 0, 2, 33, 181
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\styles\globals.css", "CSS", 0, 0, 0, 49, 0, 0, 0, 0, 14, 63
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\styles\navbar.module.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\tailwind.config.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 1, 1, 26
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\tsconfig.json", "JSON with Comments", 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\utils\emailService.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 3, 10, 74
"Total", "-", 6161, 29, 21, 198, 4, 21, 5734, 63, 731, 12962
