Date : 2023-05-12 09:28:17
Directory : c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction
Total : 70 files,  11784 codes, 62 comments, 632 blanks, all 12478 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\hooks\useFetchMaterials.js                                 | JavaScript |        196 |          1 |         23 |        220 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\hooks\useImages.js                                         | JavaScript |         21 |          0 |          7 |         28 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\lib\firebase.js                                            | JavaScript |         17 |          5 |          6 |         28 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\next.config.js                                             | JavaScript |          8 |          1 |          2 |         11 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\package-lock.json                                          | JSON       |      5,679 |          0 |          1 |      5,680 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\package.json                                               | JSON       |         40 |          0 |          1 |         41 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\_app.js                                              | JavaScript |         55 |          0 |          5 |         60 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\aboutUs.js                                           | JavaScript |         11 |          0 |          2 |         13 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\admin.js                                             | JavaScript |         10 |          1 |          1 |         12 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\careers.js                                           | JavaScript |         11 |          0 |          2 |         13 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\index.js                                             | JavaScript |         40 |          0 |          2 |         42 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\privacy.js                                           | JavaScript |         23 |          0 |          2 |         25 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\quote.js                                             | JavaScript |          5 |          0 |          3 |          8 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\pages\terms.js                                             | JavaScript |         19 |          0 |          2 |         21 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\postcss.config.js                                          | JavaScript |          6 |          0 |          1 |          7 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\public\vercel.svg                                          | XML        |          4 |          0 |          0 |          4 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\styles\Home.module.css                                     | CSS        |        146 |          2 |         33 |        181 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\styles\globals.css                                         | CSS        |         49 |          0 |         14 |         63 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\styles\navbar.module.css                                   | CSS        |          3 |          0 |          2 |          5 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\tailwind.config.js                                         | JavaScript |         24 |          1 |          1 |         26 |
| c:\Users\chris\OneDrive\Documents\MartinConstructionWebsite\martin-construction\frontend\utils\emailService.js                                      | JavaScript |         60 |          2 |          9 |         71 |
| Total                                                                                                                                               |            |     11,784 |         62 |        632 |     12,478 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
